case_type,case,period,window,top_n,cost_bps,total_return,annual_return,annual_volatility,sharpe_ratio_rf0,return_vol_ratio,max_drawdown,daily_win_rate,trade_count,rebalance_count,total_fees,total_turnover
strategy,window_20_top_1,research,20,1.0,5,-0.33139837071549616,-0.1587131319934273,0.19472333123156074,-0.7900116860843812,-0.8150699301907951,-0.39918764417666497,0.47018739352640543,51,29,19128.007818295206,51.075759655018956
strategy,window_20_top_1,validation,20,1.0,5,0.32044387842602395,0.11232877294558286,0.29684338310187625,0.5086173974959122,0.37841090399859706,-0.4122708364409693,0.5121580547112462,49,33,27381.173186218035,49.04429482773941
strategy,window_20_top_2,research,20,2.0,5,-0.06790746475508003,-0.02973868810672997,0.15114982062985802,-0.12414533206442573,-0.19674974130174663,-0.19810562391780007,0.4940374787052811,100,29,19924.871303181855,43.124062135229124
strategy,window_20_top_2,validation,20,2.0,5,0.4720711065428549,0.15961320729754758,0.23373110918388243,0.7513481708223624,0.6828924393285434,-0.2860704171968296,0.5258358662613982,105,33,23587.947747785984,40.20257625677377
strategy,window_20_top_3,research,20,3.0,5,-0.003150620248195235,-0.0013537841066102452,0.12021814271128954,0.0487601520610881,-0.011261063231208221,-0.14000174439320456,0.4991482112436116,132,29,15589.591117593693,31.172690070438225
strategy,window_20_top_3,validation,20,3.0,5,0.2836321599096798,0.10034896290029804,0.20006927979682282,0.578945459432671,0.5015710707921068,-0.24278952748981053,0.541033434650456,149,33,19494.777364901427,34.53346599356246
strategy,window_60_top_1,research,60,1.0,5,-0.409452986824973,-0.20237419417112845,0.1818046868723548,-1.151865347711366,-1.1131406876942371,-0.45958054553651295,0.4838160136286201,37,29,12543.21051884596,37.07266214183094
strategy,window_60_top_1,validation,60,1.0,5,0.39638262302210725,0.1364062502150145,0.3229858075115446,0.5595327681066248,0.4223289291438569,-0.30942197254498205,0.5349544072948328,31,33,19081.512090081662,31.09157276588479
strategy,window_60_top_2,research,60,2.0,5,-0.2962484975112907,-0.1400030983294146,0.1426073889463098,-0.9858913060885438,-0.9817380387079684,-0.39014646738895664,0.4940374787052811,87,29,11426.235885360544,30.17300046337
strategy,window_60_top_2,validation,60,2.0,5,0.1128521258200661,0.04180049405197406,0.23793224947055178,0.29235005093822697,0.17568233875394682,-0.29987613245880207,0.5592705167173252,88,33,12272.691581127232,23.439090323083416
strategy,window_60_top_3,research,60,3.0,5,-0.1576247990703774,-0.07099205477289405,0.12003695669818337,-0.5533249288445464,-0.591418315872452,-0.29841316901136294,0.5161839863713799,118,29,9345.317452601299,22.121840280743534
strategy,window_60_top_3,validation,60,3.0,5,0.14518696823682808,0.05329108285334594,0.20552174832688697,0.35642700173797276,0.2592965624668844,-0.23290493758829078,0.5455927051671733,131,33,12249.542946406713,22.822840167214586
strategy,window_120_top_1,research,120,1.0,5,0.6304117155832327,0.23350112796942635,0.17895339347020703,1.2622875990378497,1.3048153121963606,-0.11698534053393905,0.534923339011925,25,29,15837.716518971029,25.101917429569237
strategy,window_120_top_1,validation,120,1.0,5,-0.22499777885803995,-0.09300397436551966,0.3151916602242992,-0.1493808133814841,-0.29507117764263,-0.4399485606506347,0.5030395136778115,15,33,7306.009586269489,15.026554124200565
strategy,window_120_top_2,research,120,2.0,5,-0.027611765309608738,-0.011948543641580933,0.12116490645958398,-0.03863237881554422,-0.0986138972967929,-0.17143459776837322,0.5195911413969335,82,29,11907.681504980115,25.37423354616481
